epsilon,q,componentes,fracao_ruido,referencia
0.6,-1.2000000000000002,2,0.0,2.0
0.6,-1.0,2,0.0,2.0
0.6,-0.7999999999999998,2,0.0,2.0
0.6,-0.6000000000000001,2,0.0,2.0
0.6,-0.3999999999999999,2,0.0,2.0
0.6,-0.20000000000000018,2,0.0,2.0
0.6,0.0,2,0.0,2.0
0.6,0.20000000000000018,2,0.0,2.0
0.6,0.3999999999999999,2,0.0,2.0
0.6,0.6000000000000001,2,0.0,2.0
0.6,0.7999999999999998,2,0.0,2.0
0.6,1.0,2,0.0,2.0
0.6,1.2000000000000002,2,0.0,2.0
0.6,1.4000000000000004,2,0.0,2.0
0.6,1.6000000000000005,2,0.0,2.0
0.6,1.7999999999999998,1,0.0,2.0
0.6,2.0,1,0.0,
0.6,2.2,2,0.0,1.0
0.6,2.4000000000000004,1,0.0,1.0
0.6,2.6000000000000005,1,0.0,1.0
0.6,2.8,1,0.0,1.0
0.6,3.0,1,0.0,1.0
0.6,3.2,1,0.0,1.0
0.9,-3.2,1,0.0,1.0
0.9,-3.0,1,0.0,1.0
0.9,-2.8000000000000003,1,0.0,1.0
0.9,-2.6,1,0.0,1.0
0.9,-2.4000000000000004,1,0.0,1.0
0.9,-2.2,1,0.0,1.0
0.9,-2.0,1,0.0,
0.9,-1.8,2,0.0,2.0
0.9,-1.6,2,0.0,2.0
0.9,-1.4000000000000001,2,0.0,2.0
0.9,-1.2000000000000002,2,0.0,2.0
0.9,-1.0,2,0.0,2.0
0.9,-0.7999999999999998,2,0.0,2.0
0.9,-0.6000000000000001,2,0.0,2.0
0.9,-0.3999999999999999,2,0.0,2.0
0.9,-0.20000000000000018,2,0.0,2.0
0.9,0.0,2,0.0,2.0
0.9,0.20000000000000018,2,0.0,2.0
0.9,0.3999999999999999,2,0.0,2.0
0.9,0.6000000000000001,2,0.0,2.0
0.9,0.7999999999999998,2,0.0,2.0
0.9,1.0,2,0.0,2.0
0.9,1.2000000000000002,2,0.0,2.0
0.9,1.4000000000000004,1,0.0,2.0
0.9,1.6000000000000005,1,0.0,2.0
0.9,1.7999999999999998,1,0.0,2.0
0.9,2.0,1,0.0,
0.9,2.2,1,0.0,1.0
0.9,2.4000000000000004,1,0.0,1.0
0.9,2.6000000000000005,1,0.0,1.0
0.9,2.8,1,0.0,1.0
0.9,3.0,1,0.0,1.0
0.9,3.2,1,0.0,1.0
