N,repeticao,MSE_sem_ruido,MSE_com_ruido
80,11,0.005722609594958503,0.02846279994532089
80,12,0.009440499506307926,0.03144857502157085
80,13,0.004285681370825549,0.02669980307133871
80,14,0.013994352556987003,0.03643570982534302
80,15,0.009994495618107195,0.03219042783293121
80,16,0.004492450457808555,0.026875410851067007
80,17,0.003680685440063226,0.026394874646247218
80,18,0.005138806665809401,0.02778236718243889
80,19,0.004903358334969339,0.027226777762205667
160,0,0.0027082879004089156,0.02496520715757237
160,1,0.00265164786622263,0.024934630579873815
160,2,0.0015010440933218505,0.023914496152882294
160,3,0.0032546590236470115,0.026119172601841243
160,4,0.0014288696305864844,0.023805340600255766
160,5,0.00268987201062687,0.02492705531580097
160,6,0.0023719396755672874,0.024808390509884818
160,7,0.0013790154953408308,0.023738776718925964
160,8,0.0026792330190579202,0.024863762929138167
160,9,0.0036065532495505,0.025694097608853744
160,10,0.0025142984069824246,0.02513445549896066
160,11,0.0030539694119610943,0.0255112328976723
160,12,0.003722557380944056,0.02625757677705859
160,13,0.003541799047510533,0.025744574424849495
160,14,0.002267753074005216,0.024737620151376854
160,15,0.0019421680018021294,0.024461461874411367
160,16,0.0022876737408744864,0.02499036924089423
160,17,0.0036845904294024595,0.026032318176613348
160,18,0.0014733001231827974,0.023663460577491083
160,19,0.0045704877135679025,0.027291754906692393
400,0,0.00027605541391962843,0.02273113004882481
400,1,0.001321993471359337,0.02402452304451356
400,2,0.0005058362976648292,0.02294102436108929
400,3,0.0014920973489938743,0.024130059896981228
400,4,0.0007429489236169688,0.023013263308710178
400,5,0.0006518889018228208,0.02306943009923042
400,6,0.00037159002235734334,0.02279190485128737
400,7,0.0010947397484486754,0.0237270326541593
400,8,0.000986897509084765,0.023368610957244372
400,9,0.0010913336700923211,0.02351401363581885
400,10,0.0013418496146905714,0.02384740883754633
400,11,0.0007959372214237224,0.023238190320536433
400,12,0.00048628465058530055,0.022814285154463883
400,13,0.000261263995926281,0.022685198644567778
400,14,0.0008641013182179668,0.02311382931445297
400,15,0.0008050251069966858,0.02324102567941216
400,16,0.0008968404311598954,0.023399490404845704
400,17,0.0013020019918952696,0.02402242991333976
400,18,0.0007162001486772216,0.023173352480474772
400,19,0.0007231517112946576,0.02324039184364696
1000,0,0.0006094383170380322,0.022928534083522464
1000,1,0.00030398122230193607,0.02277209740224484
1000,2,0.000396065436183807,0.022923633564036663
1000,3,0.0005183771440594192,0.022882237985852764
1000,4,0.00032367722675714304,0.02286605051254692
1000,5,0.00044040734888617903,0.02285955204850473
1000,6,0.0004502351356582695,0.02279589943591889
1000,7,0.00037181520973808373,0.022894176345394514
1000,8,0.00034034658184829854,0.022843921482043478
1000,9,0.00030512832647397947,0.022784171839791596
