N,metodo,erro_medio,desvio
1050,aleatório,0.005549122134047908,3.0296806769512598e-05
1100,Fibonacci,0.0028284102260642484,0.0
1100,aleatório,0.0054973950227898685,0.00012694357798492389
1150,Fibonacci,0.002707497561913579,0.0
1150,aleatório,0.005248620599800851,4.900416959707938e-05
1200,Fibonacci,0.0025967726277913972,0.0
1200,aleatório,0.005029385935443979,6.222889143115265e-05
1250,Fibonacci,0.00249484861136415,0.0
1250,aleatório,0.004774651789451743,4.1648657585953346e-05
1300,Fibonacci,0.0024005534579304494,0.0
1300,aleatório,0.0045120257034656905,8.358178264182002e-05
1350,Fibonacci,0.0023128921112981304,0.0
1350,aleatório,0.004456072253116664,8.148652900981866e-05
1400,Fibonacci,0.002231054175866572,0.0
1400,aleatório,0.004301826754225924,6.811495239842525e-05
1450,Fibonacci,0.002154443478161423,0.0
1450,aleatório,0.004124889537265303,5.623032404698446e-05
1500,Fibonacci,0.0020825873035999667,0.0
1500,aleatório,0.004012363369410387,4.764131636470668e-05
1550,Fibonacci,0.002015085179838283,0.0
1550,aleatório,0.003846651230530474,5.684677852150594e-05
1600,Fibonacci,0.00195158720327237,0.0
1600,aleatório,0.0036906687868658405,6.77602248317151e-05
1650,Fibonacci,0.0018917820544987528,0.0
1650,aleatório,0.0036299571288416453,8.652027997473867e-05
1700,Fibonacci,0.0018353895931778688,0.0
1700,aleatório,0.003509549088962047,4.299484922277341e-05
1750,Fibonacci,0.0017821558962884735,0.0
1750,aleatório,0.0033621834703616905,6.522205914281161e-05
1800,Fibonacci,0.0017318496967717895,0.0
1800,aleatório,0.0033369309892005775,7.39286177204835e-06
1850,Fibonacci,0.0016842596722061794,0.0
1850,aleatório,0.0032327359668575723,3.4493607585974734e-05
1900,Fibonacci,0.0016391922771524037,0.0
1900,aleatório,0.0032189644127340582,5.5142704643267795e-05
1950,Fibonacci,0.0015964699428587421,0.0
1950,aleatório,0.0030840488282457747,2.026117050933663e-05
2000,Fibonacci,0.001555929538957026,0.0
2000,aleatório,0.0029808376519035638,1.0897009185134196e-05
2050,Fibonacci,0.001517421031812933,0.0
2050,aleatório,0.0029300962276383497,7.081550861328297e-05
2100,Fibonacci,0.001480806297850715,0.0
2100,aleatório,0.002897777806390806,2.6637417342331113e-05
2150,Fibonacci,0.001445958063871823,0.0
2150,aleatório,0.002825858097792079,1.3131516568270876e-05
2200,Fibonacci,0.0014127589547511749,0.0
2200,aleatório,0.0027036784751857425,1.8060076973947368e-05
2250,Fibonacci,0.0013811006338560674,0.0
2250,aleatório,0.002666632693998855,8.433626665335125e-06
2300,Fibonacci,0.0013508830251643459,0.0
2300,aleatório,0.0025967766670709166,2.454390744077806e-05
2350,Fibonacci,0.0013220136079440325,0.0
2350,aleatório,0.00251602601624786,2.545822908208807e-05
2400,Fibonacci,0.0012944067764429283,0.0
2400,aleatório,0.0024716286194611027,2.9108239307538832e-05
2450,Fibonacci,0.0012679832580919368,0.0
2450,aleatório,0.0024094957708409147,2.6605673481515447e-05
2500,Fibonacci,0.001242669584516907,0.0
2500,aleatório,0.0023968378212187113,2.4451551185343295e-05
2550,Fibonacci,0.0012183976103126522,0.0
2550,aleatório,0.0023529338501031504,1.3537308012785456e-05
2600,Fibonacci,0.0011951040751188781,0.0
2600,aleatório,0.002315102087687014,4.088757977435394e-05
