y1,y2,theta,phi
2.331338882446289062e+01,4.356791305541992188e+01,6.131013010528649332e+00,1.523474483731441120e+00
5.117154693603515625e+01,-1.213969898223876953e+01,1.504685708999652149e+00,9.710631216043773550e-01
-2.848839759826660156e+01,-3.635884094238281250e+01,1.760778894595906197e+00,2.264482598122715962e-01
9.625046253204345703e-01,5.239085006713867188e+01,1.544073547317624251e-01,3.268150963829136391e+00
-8.307637214660644531e+00,-5.038057708740234375e+01,3.474804780373920821e+00,5.530317292748076596e+00
2.410548591613769531e+01,-4.212144470214843750e+01,3.274699994546912851e+00,2.543788807819034048e-01
2.921090507507324219e+01,-1.145342254638671875e+01,2.599449537310066560e+00,1.605357188337640961e+00
-9.510286331176757812e+00,3.259698867797851562e+01,4.895487734209877040e+00,3.704862821111110538e+00
-2.062256431579589844e+01,-4.413104248046875000e+01,2.237016202726811009e+00,5.795819349745730875e+00
-2.016146278381347656e+01,-4.368740081787109375e+01,2.229258494069345620e+00,5.650364331318973754e+00
-5.398056411743164062e+01,1.623551940917968750e+01,8.422957371639380186e-01,4.374691184262909260e+00
-5.573193359375000000e+01,1.490117645263671875e+01,1.061202041132613072e+00,4.163546141534964384e+00
1.491015911102294922e+01,-2.819886398315429688e+01,4.159716059462962967e+00,1.391244626428973286e+00
-5.046326065063476562e+01,-2.547030067443847656e+01,3.398958299082991963e-01,5.398323130497514555e+00
4.466790705919265747e-02,1.082460403442382812e+01,4.101907046426630288e+00,3.075074604942301004e+00
5.593694210052490234e+00,-3.914080047607421875e+01,4.631658846320874545e+00,2.678816616415204965e-01
5.474174499511718750e+01,1.616381263732910156e+01,3.819449178197551475e-01,2.427642496543230166e+00
4.305421066284179688e+01,3.110701179504394531e+01,1.126384073997743346e-01,1.226332596048830714e+00
1.844312858581542969e+01,3.891790771484375000e+01,5.444800560358342700e+00,1.601776198099596815e+00
4.305135345458984375e+01,3.064494323730468750e+01,1.388099710593195257e-01,1.172302460501750465e+00
